price,min_to_metro,region_of_moscow,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms
31633073.0,24.0,ЮАО,64.2,32.4,11.0,16.0,2023.0,1.0,0.0,3.15,2.0
29293000.0,9.0,СВАО,78.1,,9.0,27.0,2022.0,1.0,0.0,,2.0
30349669.0,5.0,ЮАО,72.4,33.6,3.0,24.0,2023.0,1.0,0.0,3.15,2.0
31845511.0,19.0,ЮАО,69.2,,2.0,12.0,2024.0,1.0,0.0,2.97,2.0
38810000.0,27.0,ЗАО,66.9,24.8,9.0,14.0,2023.0,1.0,0.0,3.0,2.0
85004500.0,8.0,ЦАО,104.3,,6.0,7.0,2016.0,1.0,1.0,3.25,2.0
82644000.0,3.0,ЦАО,85.2,,52.0,66.0,2020.0,1.0,1.0,3.9,2.0
34100453.0,20.0,ЮАО,66.0,29.9,8.0,46.0,2023.0,1.0,0.0,3.0,2.0
27447668.0,5.0,ЮАО,65.55,34.4,26.0,26.0,2023.0,1.0,0.0,2.87,2.0
21230289.0,5.0,ЗАО,59.3,29.3,23.0,23.0,2023.0,1.0,0.0,2.73,2.0
32747909.0,5.0,ЗАО,61.15,,6.0,57.0,2024.0,1.0,0.0,2.9,2.0
27800000.0,18.0,ЗАО,46.9,,32.0,41.0,2024.0,1.0,0.0,3.25,2.0
29759589.0,25.0,ЮАО,64.2,32.9,7.0,16.0,2022.0,1.0,0.0,3.15,2.0
50480000.0,,ЗАО,70.3,25.2,12.0,14.0,2023.0,1.0,0.0,3.0,2.0
30115475.0,25.0,ЮАО,65.8,32.1,14.0,16.0,2022.0,1.0,0.0,3.15,2.0
28375022.0,5.0,ЮАО,69.7,,2.0,24.0,2023.0,1.0,0.0,3.15,2.0
30585500.0,11.0,ЮЗАО,67.0,,32.0,34.0,2023.0,1.0,0.0,3.0,2.0
41240000.0,,ЗАО,68.5,24.6,9.0,14.0,2023.0,1.0,0.0,3.0,2.0
15177043.0,4.0,ВАО,36.33,18.4,6.0,29.0,2023.0,1.0,0.0,3.0,2.0
40331596.0,27.0,ЮАО,71.2,43.8,15.0,15.0,2023.0,1.0,0.0,3.15,2.0
21743843.0,17.0,ЮВАО,52.4,,10.0,29.0,2024.0,1.0,0.0,2.87,2.0
33273400.0,19.0,ЮВАО,71.8,,11.0,21.0,2023.0,1.0,0.0,3.0,2.0
30033280.0,19.0,СВАО,66.8,,14.0,22.0,2023.0,1.0,0.0,3.0,2.0
53950000.0,8.0,ЗАО,72.6,,9.0,13.0,2023.0,1.0,0.0,3.0,2.0
44072325.0,25.0,ЮАО,69.1,25.6,9.0,16.0,2023.0,1.0,0.0,3.15,2.0
39655200.0,19.0,СВАО,80.6,60.5,27.0,32.0,2023.0,1.0,0.0,3.0,2.0
27000000.0,5.0,СЗАО,53.9,,23.0,23.0,2023.0,1.0,0.0,3.23,2.0
29476161.0,10.0,ЗАО,44.7,15.7,24.0,28.0,2022.0,1.0,0.0,3.12,2.0
35957040.0,5.0,ЗАО,62.95,,37.0,57.0,2024.0,1.0,0.0,2.9,2.0
23700000.0,12.0,СВАО,55.5,25.9,3.0,48.0,2024.0,1.0,0.0,,2.0
40420000.0,28.0,ЗАО,69.2,26.3,13.0,14.0,2021.0,1.0,0.0,3.0,2.0
16200000.0,11.0,ЗАО,42.8,14.8,30.0,33.0,2023.0,1.0,0.0,,2.0
34068000.0,12.0,СЗАО,66.8,,10.0,21.0,2023.0,1.0,0.0,3.1,2.0
30377215.0,17.0,СЗАО,61.3,37.8,16.0,43.0,2023.0,1.0,0.0,3.15,2.0
31535521.0,4.0,СВАО,75.8,,14.0,15.0,2021.0,1.0,1.0,,2.0
11500000.0,5.0,СЗАО,46.3,,28.0,33.0,2024.0,1.0,0.0,,2.0
29760000.0,20.0,СЗАО,49.0,,26.0,29.0,2023.0,1.0,0.0,,2.0
26650000.0,19.0,СЗАО,49.4,,3.0,29.0,2023.0,1.0,0.0,,2.0
41741000.0,10.0,СВАО,67.0,50.3,3.0,34.0,2022.0,1.0,0.0,3.0,2.0
34398000.0,19.0,СВАО,75.6,56.7,11.0,32.0,2023.0,1.0,0.0,3.0,2.0
26690000.0,8.0,ЮАО,71.3,,3.0,11.0,2024.0,1.0,0.0,,2.0
30433508.0,4.0,ЮАО,72.6,,3.0,24.0,2023.0,1.0,0.0,3.15,2.0
64890000.0,,ЗАО,72.9,26.6,14.0,14.0,2023.0,1.0,0.0,3.0,2.0
107526900.0,6.0,ЦАО,102.7,,4.0,6.0,2017.0,1.0,1.0,3.0,2.0
41280000.0,28.0,ЗАО,67.0,24.8,13.0,14.0,2023.0,1.0,0.0,3.0,2.0
31437720.0,5.0,ЮЗАО,62.6,,32.0,34.0,2023.0,1.0,0.0,3.0,2.0
25602975.0,9.0,СВАО,72.0,,17.0,27.0,2022.0,1.0,0.0,,2.0
15700000.0,5.0,ЗАО,39.8,,3.0,15.0,2024.0,1.0,1.0,2.7,2.0
14604980.0,6.0,САО,52.4,25.4,13.0,15.0,2023.0,1.0,0.0,2.84,2.0
34025200.0,19.0,СВАО,70.3,52.7,10.0,32.0,2023.0,1.0,0.0,3.0,2.0
33500000.0,16.0,СЗАО,57.6,17.2,9.0,44.0,2023.0,1.0,0.0,,2.0
25000000.0,15.0,ЮАО,51.5,,7.0,26.0,2024.0,1.0,0.0,2.87,2.0
34000000.0,18.0,СЗАО,65.0,32.0,5.0,13.0,2023.0,1.0,0.0,,2.0
20463155.0,8.0,САО,39.7,25.6,16.0,35.0,2023.0,1.0,0.0,3.1,2.0
28174549.0,24.0,ЗАО,75.3,43.8,18.0,21.0,2023.0,1.0,0.0,2.74,2.0
15300000.0,10.0,ВАО,40.0,,13.0,33.0,2023.0,1.0,0.0,,2.0
26205026.0,4.0,ЗАО,62.7,25.5,5.0,12.0,2022.0,1.0,1.0,3.0,2.0
29000000.0,11.0,ЮВАО,73.2,,11.0,20.0,2023.0,1.0,0.0,3.0,2.0
37000000.0,18.0,ЗАО,58.6,42.5,38.0,41.0,2024.0,1.0,0.0,3.1,2.0
46930475.0,12.0,СЗАО,66.98,33.2,13.0,32.0,2023.0,1.0,0.0,3.0,2.0
15272858.0,16.0,САО,59.6,29.7,3.0,14.0,2023.0,1.0,0.0,2.84,2.0
19654093.0,5.0,ЮАО,40.66,25.5,26.0,26.0,2023.0,1.0,0.0,2.87,2.0
21875716.0,10.0,ЮВАО,72.1,,29.0,33.0,2023.0,1.0,0.0,2.72,2.0
26760111.0,4.0,СЗАО,64.08,33.1,47.0,52.0,2024.0,1.0,0.0,2.85,2.0
29359584.0,,СЗАО,64.8,15.2,42.0,47.0,2023.0,1.0,0.0,03.05,2.0
17853150.0,10.0,ЮЗАО,69.4,,3.0,14.0,2023.0,1.0,1.0,2.8,2.0
28900000.0,9.0,ЮАО,61.0,25.0,18.0,22.0,2023.0,1.0,0.0,,2.0
32022800.0,12.0,СВАО,71.8,53.9,2.0,37.0,2024.0,1.0,0.0,3.0,2.0
30324294.0,17.0,СЗАО,56.7,32.7,9.0,43.0,2023.0,1.0,0.0,3.15,2.0
33854660.0,16.0,СЗАО,55.3,28.8,15.0,24.0,2023.0,1.0,0.0,3.15,2.0
37650214.0,13.0,СЗАО,79.36,36.8,14.0,15.0,2024.0,1.0,0.0,03.02,2.0
75240000.0,3.0,ЦАО,83.6,,34.0,66.0,2020.0,1.0,1.0,3.9,2.0
38042644.0,13.0,СЗАО,85.4,35.7,21.0,25.0,2022.0,1.0,0.0,03.02,2.0
14924263.0,10.0,ЗАО,49.8,,11.0,25.0,2021.0,1.0,0.0,2.63,2.0
16360104.0,9.0,ЗАО,37.37,22.9,17.0,30.0,2023.0,1.0,0.0,3.3,2.0
29709300.0,16.0,СЗАО,59.3,,3.0,6.0,2023.0,1.0,1.0,3.24,2.0
37770000.0,,ЗАО,67.2,24.8,10.0,14.0,2023.0,1.0,0.0,3.0,2.0
22652545.0,2.0,ВАО,56.5,35.6,1.0,20.0,2024.0,1.0,0.0,,2.0
24161658.0,4.0,ЮАО,53.66,31.4,25.0,27.0,2023.0,1.0,0.0,2.87,2.0
15579050.0,5.0,ЗАО,52.9,,3.0,25.0,2021.0,1.0,0.0,2.63,2.0
55334473.0,12.0,САО,72.1,,32.0,41.0,2023.0,1.0,0.0,3.1,2.0
19795000.0,4.0,ВАО,51.61,20.7,21.0,29.0,2023.0,1.0,0.0,3.0,2.0
25293037.0,2.0,ВАО,65.57,,3.0,20.0,2024.0,1.0,0.0,,2.0
31999440.0,16.0,СЗАО,52.7,29.8,15.0,24.0,2023.0,1.0,0.0,3.15,2.0
26020054.0,22.0,ЮАО,45.33,23.2,8.0,29.0,2023.0,1.0,0.0,3.0,2.0
44000000.0,13.0,САО,59.0,15.5,12.0,12.0,2023.0,1.0,0.0,,2.0
